@RELATION admission_stats

@ATTRIBUTE Subjnum REAL
@ATTRIBUTE gender {Male, Female, Unknown}
@ATTRIBUTE Firgen REAL
@ATTRIBUTE famincome REAL
@ATTRIBUTE SATCRDG REAL
@ATTRIBUTE SATMATH REAL
@ATTRIBUTE SATWRTG REAL
@ATTRIBUTE SATTotal REAL
@ATTRIBUTE HSGPA REAL
@ATTRIBUTE ACTRead REAL
@ATTRIBUTE ACTMath REAL
@ATTRIBUTE ACTEngWrit REAL
@ATTRIBUTE APIScore REAL
@ATTRIBUTE FirstLang {English, EnglishandAnother, Another}
@ATTRIBUTE HSGPAunweighted REAL
@ATTRIBUTE Firststyrunitsforgpa REAL
@ATTRIBUTE Firststyeartotcumunits REAL
@ATTRIBUTE Firstyrcumgpa {0, 1, 2, 3, 4}

@DATA
3233.0,Male,0.0,60000.0,400.0,380.0,390.0,1170.0,3.27,36.0,14.0,14.0,7.0,Another,3.27,32.6614509246,40.8090327169,4
3242.0,Male,0.0,51500.0,370.0,710.0,520.0,1600.0,3.52294452347,36.0,13.0,33.0,4.66571834993,Another,3.3220056899,30.0,40.0,4
3244.0,Female,0.0,100000.0,0.0,470.0,0.0,1351.35135135,3.78,17.0,30.0,17.0,4.66571834993,Another,3.78,45.0,50.0,4
3248.0,Male,0.0,188789.0,570.0,640.0,570.0,1780.0,3.81,24.0,27.0,25.0,8.0,EnglishandAnother,3.63,40.0,43.0,4
3253.0,Female,300.0,47000.0,750.0,610.0,640.0,2000.0,4.14,34.0,28.0,29.0,10.0,English,3.85,32.6614509246,40.8090327169,4
3257.0,Male,300.0,23638.0,0.0,0.0,0.0,1351.35135135,3.71,29.0,23.0,23.0,8.0,English,3.57,32.6614509246,40.8090327169,4
3259.0,Female,300.0,46300.0,0.0,560.0,0.0,1351.35135135,3.13,22.0,23.0,19.0,4.66571834993,Another,2.86,32.6614509246,40.8090327169,4
3262.0,Female,300.0,50000.0,540.0,540.0,530.0,1610.0,3.33,36.0,24.0,24.0,3.0,English,3.16,10.0,2.0,4
3270.0,Male,0.0,18000.0,730.0,660.0,700.0,2090.0,2.45,36.0,33.0,31.0,9.0,English,2.45,40.0,40.0,4
3279.0,Female,0.0,625000.0,680.0,660.0,600.0,1940.0,3.52294452347,36.0,32.0,31.0,4.66571834993,English,3.3220056899,32.6614509246,40.8090327169,4
3280.0,Male,300.0,19000.0,590.0,670.0,560.0,1820.0,3.5,36.0,27.0,31.0,8.0,English,3.21,47.0,64.0,4
3281.0,Female,300.0,4100.0,320.0,340.0,440.0,1100.0,3.55,36.0,11.0,11.0,2.0,Another,3.2,35.0,48.0,4
3287.0,Male,0.0,77579.7467994,590.0,500.0,470.0,1560.0,3.69,21.0,20.0,22.0,4.66571834993,English,3.53,40.0,32.0,4
3290.0,Female,0.0,100000.0,560.0,470.0,600.0,1630.0,3.86,36.0,25.0,20.0,4.66571834993,English,3.6,32.6614509246,40.8090327169,4
3293.0,Male,300.0,100000.0,460.0,710.0,530.0,1700.0,3.75,36.0,19.0,33.0,4.66571834993,English,3.7,42.0,52.0,4
3295.0,Female,0.0,190000.0,600.0,540.0,560.0,1700.0,3.85,29.0,23.0,26.0,4.66571834993,English,3.64,32.6614509246,40.8090327169,4
3298.0,Female,0.0,110000.0,450.0,590.0,460.0,1500.0,3.88,36.0,19.0,27.0,4.66571834993,English,3.64,32.6614509246,40.8090327169,4
% 
% 
% 
