@RELATION admission_stats

@ATTRIBUTE Subjnum REAL
@ATTRIBUTE gender {Male, Female, Unknown}
@ATTRIBUTE Firgen REAL
@ATTRIBUTE famincome REAL
@ATTRIBUTE SATCRDG REAL
@ATTRIBUTE SATMATH REAL
@ATTRIBUTE SATWRTG REAL
@ATTRIBUTE SATTotal REAL
@ATTRIBUTE HSGPA REAL
@ATTRIBUTE ACTRead REAL
@ATTRIBUTE ACTMath REAL
@ATTRIBUTE ACTEngWrit REAL
@ATTRIBUTE APIScore REAL
@ATTRIBUTE FirstLang {English, EnglishandAnother, Another}
@ATTRIBUTE HSGPAunweighted REAL
@ATTRIBUTE Firststyrunitsforgpa REAL
@ATTRIBUTE Firststyeartotcumunits REAL
@ATTRIBUTE Firstyrcumgpa {0, 1, 2, 3, 4}

@DATA
186.0,Female,0.0,400000.0,560.0,590.0,550.0,1700.0,4.04,26.0,25.0,23.0,6.0,English,3.7,47.0,80.5,1
190.0,Male,0.0,180000.0,0.0,740.0,770.0,1563.76838235,3.66,31.0,35.0,27.0,10.0,Another,3.41,45.0,45.0,1
191.0,Male,0.0,20000.0,450.0,450.0,480.0,1380.0,3.41,24.0,20.0,21.0,2.0,English,3.08,47.0,47.0,1
194.0,Female,0.0,13000.0,480.0,610.0,550.0,1640.0,3.61,36.0,20.0,27.0,5.88602941176,EnglishandAnother,3.61,53.0,58.0,1
204.0,Female,0.0,15000.0,700.0,560.0,560.0,1820.0,3.84,36.0,32.0,25.0,10.0,English,3.52,40.0,55.0,1
211.0,Female,0.0,16015.0,550.0,520.0,480.0,1550.0,4.0,36.0,24.0,22.0,7.0,English,3.92,40.0,57.0,1
215.0,Female,0.0,300000.0,690.0,620.0,600.0,1910.0,3.65,36.0,32.0,29.0,7.0,English,3.34,45.0,69.0,1
224.0,Female,300.0,266000.0,610.0,600.0,610.0,1820.0,3.82,36.0,27.0,27.0,7.0,English,3.47,49.0,69.0,1
226.0,Female,300.0,54541.0,660.0,550.0,580.0,1790.0,4.0,36.0,31.0,24.0,8.0,EnglishandAnother,3.75,45.0,89.0,1
234.0,Female,300.0,49492.0,550.0,510.0,540.0,1600.0,3.44,36.0,24.0,22.0,5.0,English,3.0,45.0,45.0,1
236.0,Female,300.0,12857.0,480.0,400.0,400.0,1280.0,3.31,36.0,20.0,14.0,3.0,EnglishandAnother,3.13,42.0,42.0,1
239.0,Male,0.0,100000.0,580.0,530.0,550.0,1660.0,3.41,36.0,25.0,24.0,5.88602941176,English,3.25,45.0,61.0,1
242.0,Female,300.0,40000.0,660.0,600.0,610.0,1870.0,4.0,36.0,31.0,27.0,9.0,English,3.63,40.0,77.0,1
247.0,Female,0.0,39000.0,510.0,520.0,490.0,1520.0,4.0,23.0,23.0,20.0,2.0,EnglishandAnother,3.8,38.0,51.0,1
252.0,Male,0.0,110000.0,590.0,690.0,500.0,1780.0,3.61,36.0,27.0,32.0,8.0,English,3.52,33.0,59.0,1
254.0,Female,300.0,19000.0,540.0,630.0,560.0,1730.0,4.2,25.0,25.0,25.0,6.0,Another,3.8,45.0,61.0,1
257.0,Male,0.0,148000.0,640.0,660.0,680.0,1980.0,4.0,34.0,27.0,29.0,10.0,English,3.69,49.0,77.5,1
258.0,Male,0.0,145000.0,570.0,700.0,570.0,1840.0,3.75,25.0,25.0,23.0,7.0,English,3.75,47.0,47.0,1
262.0,Female,300.0,88000.0,490.0,510.0,540.0,1540.0,3.8,23.0,17.0,19.0,10.0,EnglishandAnother,3.7,41.0,57.0,1
264.0,Male,0.0,140000.0,660.0,670.0,690.0,2020.0,3.68,36.0,31.0,31.0,5.0,English,3.31,45.0,65.0,1
265.0,Male,300.0,22000.0,310.0,580.0,430.0,1320.0,3.31,36.0,9.0,25.0,3.0,Another,3.31,34.0,49.0,1
269.0,Unknown,0.0,149249.0,580.0,560.0,510.0,1650.0,3.81,36.0,25.0,25.0,7.0,English,3.56,39.0,64.0,1
279.0,Female,300.0,75000.0,470.0,470.0,450.0,1390.0,3.7,23.0,23.0,21.0,3.0,English,3.37,45.0,49.0,1
282.0,Male,300.0,43400.0,660.0,620.0,640.0,1920.0,3.62,36.0,31.0,29.0,8.0,English,3.29,50.0,101.0,1
288.0,Male,0.0,38766.0,520.0,760.0,500.0,1780.0,4.08,36.0,22.0,35.0,10.0,EnglishandAnother,3.91,49.0,49.0,1
289.0,Female,300.0,85000.0,560.0,560.0,500.0,1620.0,3.3,24.0,25.0,24.0,5.0,EnglishandAnother,3.05,38.0,47.0,1
