@RELATION admission_stats

@ATTRIBUTE gender {Male, Female, Unknown}
@ATTRIBUTE Firgen REAL
@ATTRIBUTE famincome REAL
@ATTRIBUTE SATCRDG REAL
@ATTRIBUTE SATMATH REAL
@ATTRIBUTE SATWRTG REAL
@ATTRIBUTE SATTotal REAL
@ATTRIBUTE HSGPA REAL
@ATTRIBUTE ACTRead REAL
@ATTRIBUTE ACTMath REAL
@ATTRIBUTE ACTEngWrit REAL
@ATTRIBUTE APIScore REAL
@ATTRIBUTE FirstLang {English, EnglishandAnother, Another}
@ATTRIBUTE HSGPAunweighted REAL
@ATTRIBUTE Firststyrunitsforgpa REAL
@ATTRIBUTE Firststyeartotcumunits REAL
@ATTRIBUTE Firstyrcumgpa {0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0}

@DATA
Female,300.0,1000.0,538.015665796,549.817232376,542.872062663,1630.70496084,3.54,33.0,26.0,25.0,10.0,Another,3.2,44.0,44.0,4.0
Female,300.0,135000.0,440.0,630.0,550.0,1620.0,3.95,10.27154047,9.90600522193,9.39686684073,10.0,English,3.86,50.0,55.0,4.0
Female,0.0,109500.0,580.0,530.0,600.0,1710.0,3.88,29.0,23.0,26.0,8.0,English,3.74,38.0,55.0,4.0
Female,0.0,98790.8093995,320.0,420.0,360.0,1100.0,3.35,10.27154047,9.90600522193,9.39686684073,4.0,English,3.2,35.0,40.0,4.0
Male,0.0,130000.0,540.0,710.0,610.0,1860.0,3.9,10.27154047,9.90600522193,9.39686684073,8.0,EnglishandAnother,3.5,50.0,79.0,4.0
Female,0.0,390000.0,730.0,560.0,670.0,1960.0,3.55,10.27154047,9.90600522193,9.39686684073,10.0,English,3.15,47.0,55.0,4.0
Male,300.0,41000.0,520.0,500.0,550.0,1570.0,3.54,10.27154047,9.90600522193,9.39686684073,3.0,Another,3.2,58.0,82.0,4.0
Male,0.0,205000.0,670.0,590.0,680.0,1940.0,3.9,32.0,27.0,28.0,10.0,English,3.85,47.0,60.0,4.0
Male,300.0,32128.0,520.0,670.0,560.0,1750.0,3.65,10.27154047,9.90600522193,9.39686684073,5.0,Another,3.55,49.0,53.0,4.0
Female,300.0,26706.0,670.0,510.0,660.0,1840.0,3.76,10.27154047,9.90600522193,9.39686684073,7.0,Another,3.29,40.0,73.0,4.0
