@relation admission_stats-weka.filters.unsupervised.attribute.Remove-R15-16-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues

@attribute gender {Male,Female,Unknown}
@attribute Firgen numeric
@attribute famincome numeric
@attribute SATCRDG numeric
@attribute SATMATH numeric
@attribute SATWRTG numeric
@attribute SATTotal numeric
@attribute HSGPA numeric
@attribute ACTRead numeric
@attribute ACTMath numeric
@attribute ACTEngWrit numeric
@attribute APIScore numeric
@attribute FirstLang {English,EnglishandAnother,Another}
@attribute HSGPAunweighted numeric
@attribute Firstyrcumgpa {0,1,2,3,4}

@data
Female,1,0.022,0.5,0.678571,0.6,0.58,0.848485,0.571786,0.517127,0.537006,0.777778,EnglishandAnother,0.977679,4
Female,0,0.055,0.561603,0.589212,0.590667,0.565904,0.867424,0.333333,0.541667,0.461538,0.777778,English,0.977679,1
Female,0,0.25,0.910714,0.696429,0.75,0.8,0.704545,1,0.583333,0.846154,0.888889,English,0.683036,1
Male,0,0.099487,0.821429,0.875,0.966667,0.92,0.496212,0.571786,0.517127,0.537006,1,Another,0.482143,1
Female,0,0.098,0.232143,0.5,0.4,0.333333,0.757576,0.333333,0.458333,0.423077,0.666667,English,0.825893,4
Female,1,0.024,0.561603,0.589212,0.590667,0.565904,0.727273,0.407407,0.208333,0.461538,0.111111,EnglishandAnother,0.816964,0
Female,0,0.008,0.607143,0.267857,0.516667,0.433333,0.848485,0.555556,0.166667,0.461538,0.333333,English,0.910714,2
Female,0,0.15,0.561603,0.589212,0.590667,0.565904,0.700758,0.777778,0.416667,0.537006,0.623153,English,0.691964,0
Female,0,0.03969,0.571429,0.732143,0.65,0.646667,0.848485,0.571786,0.517127,0.537006,0.777778,English,0.834821,3
Female,0,0.063,0.642857,0.553571,0.866667,0.693333,0.863636,0.571786,0.517127,0.537006,0.666667,English,0.857143,2
Male,0,0.29,0.714286,0.803571,0.666667,0.733333,0.738636,0.666667,0.833333,0.769231,0.666667,English,0.816964,2
Female,0,0.17,0.767857,0.714286,0.633333,0.706667,0.916667,0.571786,0.517127,0.537006,0.777778,Another,0.915179,1
Female,0,0.09,0.589286,0.678571,0.733333,0.666667,0.981061,0.740741,0.541667,0.807692,0.777778,English,0.977679,0
Male,0,0.23,0.714286,0.910714,0.783333,0.82,0.848485,0.571786,0.517127,0.537006,1,English,0.875,1
Female,0,0.550001,0.839286,0.660714,0.8,0.78,0.708333,0.571786,0.517127,0.537006,0.623153,English,0.776786,2
Male,0,0.202,0.714286,0.660714,0.85,0.753333,0.715909,0.571786,0.517127,0.537006,1,English,0.745536,1
Male,0,0.14,0.767857,0.75,0.666667,0.733333,0.795455,0.571786,0.517127,0.537006,0.666667,English,0.776786,3
Male,1,0.052,0.660714,0.642857,0.683333,0.66,0.810606,0.571786,0.517127,0.537006,0.777778,EnglishandAnother,0.875,4
Male,0,0.135,0.875,0.714286,0.616667,0.74,0.810606,0.571786,0.517127,0.537006,0.623153,English,0.834821,0
Male,0,0.029098,0.285714,0.696429,0.283333,0.38,0.719006,0.571786,0.517127,0.537006,0.222222,Another,0.747357,0
Male,0,0.072,0.625,0.625,0.616667,0.613333,0.795455,0.571786,0.517127,0.537006,1,English,0.848214,4
Male,1,0.035498,0.589286,0.571429,0.716667,0.62,0.659091,0.571786,0.517127,0.537006,0.666667,EnglishandAnother,0.691964,0
Female,0,0.118,0.785714,0.964286,0.683333,0.826667,0.731061,0.571786,0.517127,0.537006,1,English,0.723214,3
Male,0,0.15,0.214286,0.607143,0.266667,0.313333,0.537879,0.571786,0.517127,0.537006,0.623153,Another,0.553571,3
Female,0,0.09302,0.910714,0.767857,0.866667,0.873333,0.893939,0.571786,0.517127,0.537006,1,English,0.90625,0
Male,0,0.17,0.892857,0.803571,0.9,0.893333,0.659091,0.571786,0.517127,0.537006,0.777778,English,0.625,3
Male,0,0.224,0.5,0.428571,0.583333,0.48,0.636364,0.259259,0.5,0.537006,0.623153,English,0.714286,1
Female,0,0.18,0.875,0.517857,0.933333,0.793333,0.776515,0.571786,0.517127,0.537006,0.666667,English,0.794643,1
Female,0,0.15,0.428571,0.607143,0.566667,0.513333,0.787879,0.571786,0.517127,0.537006,1,EnglishandAnother,0.825893,0
Male,1,0.0309,0.5,0.553571,0.6,0.533333,0.674242,0.481481,0.416667,0.537006,0.333333,EnglishandAnother,0.642857,0
Male,0,0.213,0.571429,0.732143,0.833333,0.72,0.693182,0.555556,0.666667,0.692308,0.888889,EnglishandAnother,0.651786,4
Male,0,0.15,0.561603,0.589212,0.590667,0.565904,0.526515,0.555556,0.416667,0.384615,0.623153,English,0.575893,3
Male,1,0.031636,0.303571,0.553571,0.266667,0.326667,0.825758,0.571786,0.517127,0.537006,0.666667,Another,0.924107,1
Male,1,0.09302,0.464286,0.696429,0.483333,0.526667,0.795455,0.407407,0.75,0.423077,0.623153,English,0.848214,4
Female,0,0.24,0.561603,0.589212,0.590667,0.565904,0.863636,0.703704,0.5,0.653846,0.623153,English,0.866071,0
Male,1,0.09302,0.5,0.660714,0.466667,0.52,0.69697,0.481481,0.5,0.537006,0.888889,English,0.696429,0
Female,0,0.13144,0.5,0.571429,0.633333,0.553333,0.700758,0.481481,0.5,0.5,0.777778,English,0.700893,3
Female,0,0.35,0.428571,0.660714,0.683333,0.58,0.787879,0.571786,0.517127,0.537006,0.777778,EnglishandAnother,0.892857,0
Male,0,0.054,0.660714,0.642857,0.85,0.726667,0.674242,0.571786,0.517127,0.537006,0.777778,English,0.794643,4
Female,1,0.019,0.642857,0.714286,0.733333,0.7,0.715909,0.571786,0.517127,0.537006,0.777778,English,0.705357,0
Male,0,0.042,0.642857,0.660714,0.583333,0.62,0.799242,0.62963,0.666667,0.538462,0.777778,English,0.830357,1
Female,0,0.165,0.607143,0.446429,0.566667,0.52,0.818182,0.571786,0.517127,0.537006,0.777778,English,0.861607,0
Male,0,0.03,0.517857,0.732143,0.7,0.646667,0.704545,0.571786,0.517127,0.537006,0.777778,EnglishandAnother,0.754464,0
Female,0,0.24,0.303571,0.517857,0.416667,0.373333,0.734848,0.571786,0.517127,0.537006,0.333333,Another,0.776786,4
Male,0,0.09,0.375,0.964286,0.633333,0.653333,0.670455,0.571786,0.517127,0.537006,0.623153,Another,0.790179,0
Male,0,0.085,0.642857,0.571429,0.65,0.613333,0.734848,0.571786,0.517127,0.537006,0.888889,English,0.754464,3
Female,0,0.13,0.561603,0.589212,0.590667,0.565904,0.67803,0.481481,0.416667,0.538462,0.623153,English,0.799107,1
Male,0,0.16,0.714286,0.607143,0.733333,0.686667,0.776515,0.62963,0.375,0.730769,0.888889,English,0.834821,0
Female,0,0.24,0.625,0.589286,0.683333,0.626667,0.564394,0.666667,0.583333,0.615385,0.623153,English,0.589286,0
Female,0,0.09302,0.696429,0.5,0.733333,0.64,0.768939,0.571786,0.517127,0.537006,0.888889,English,0.866071,1
Male,0,0.065,0.732143,0.446429,0.666667,0.606667,0.587121,0.571786,0.517127,0.537006,0.777778,English,0.53125,0
Female,1,0.075,0.561603,0.589212,0.590667,0.565904,0.719697,0.259259,0.916667,0.384615,1,Another,0.71875,4
Female,0,0.17,0.625,0.571429,0.533333,0.56,0.795455,0.571786,0.517127,0.537006,0.333333,EnglishandAnother,0.816964,1
Female,1,0.0273,0.375,0.642857,0.35,0.42,0.795455,0.571786,0.517127,0.537006,0.777778,Another,0.9375,1
Female,0,0.08,0.571429,0.642857,0.633333,0.606667,0.795455,0.571786,0.517127,0.537006,1,English,0.776786,1
Male,0,0.2,0.446429,0.678571,0.45,0.5,0.67803,0.666667,0.5,0.538462,0.888889,English,0.799107,2
Male,0,0.09,0.535714,0.607143,0.65,0.586667,0.829545,0.571786,0.517127,0.537006,0.777778,English,0.888393,1
Female,0,0.16,0.5,0.482143,0.766667,0.573333,0.810606,0.571786,0.517127,0.537006,0.777778,EnglishandAnother,0.834821,2
Female,0,0.135,0.785714,0.678571,0.616667,0.693333,0.924242,0.571786,0.517127,0.537006,0.333333,English,0.941964,1
Female,0,0.23,0.714286,0.839286,0.7,0.76,0.734848,0.571786,0.517127,0.537006,1,English,0.821429,3
Female,0,0.144,0.428571,0.142857,0.383333,0.266667,0.784091,0.407407,0.166667,0.5,0.623153,English,0.830357,0
Female,0,0.075,0.678571,0.589286,0.883333,0.726667,0.878788,0.571786,0.517127,0.537006,0.333333,English,0.959821,0
Male,0,0.047,0.607143,0.5,0.433333,0.486667,0.621212,0.571786,0.517127,0.537006,0.222222,Another,0.571429,0
Female,1,0.01248,0.625,0.732143,0.45,0.586667,0.753788,0.571786,0.517127,0.537006,0.222222,Another,0.799107,4
Male,0,0.13,0.535714,0.821429,0.616667,0.653333,0.719697,0.571786,0.517127,0.537006,0.888889,English,0.678571,0
Female,0,0.1,0.428571,0.553571,0.616667,0.513333,0.791667,0.571786,0.517127,0.537006,0.888889,English,0.754464,1
Male,0,0.034884,0.803571,0.75,0.583333,0.713333,0.772727,0.571786,0.517127,0.537006,0.777778,English,0.821429,2
Female,0,0.128,0.517857,0.625,0.816667,0.653333,0.848485,0.481481,0.541667,0.615385,0.623153,English,0.857143,1
Male,0,0.09302,0.589286,0.660714,0.5,0.566667,0.753788,0.555556,0.625,0.653846,0.777778,EnglishandAnother,0.709821,1
Male,1,0.0164,0.410714,0.660714,0.533333,0.513333,0.799242,0.571786,0.517127,0.537006,0.623153,Another,0.830357,3
Female,1,0.0375,0.714286,0.482143,0.716667,0.633333,0.890152,0.925926,0.541667,0.692308,0.444444,English,0.946429,1
Male,1,0.025,0.285714,0.428571,0.483333,0.36,0.742424,0.259259,0.208333,0.5,0.333333,English,0.794643,2
Female,0,0.075,0.642857,0.517857,0.616667,0.58,0.848485,0.703704,0.541667,0.537006,0.444444,English,0.915179,3
Male,0,0.05,0.625,0.696429,0.683333,0.666667,0.715909,0.571786,0.517127,0.537006,1,EnglishandAnother,0.745536,0
Female,0,0.12,0.696429,0.767857,0.75,0.746667,0.757576,0.571786,0.517127,0.537006,1,EnglishandAnother,0.758929,2
Male,0,0.09302,0.625,0.535714,0.566667,0.56,0.829545,0.592593,0.5,0.537006,0.623153,English,0.84375,4
Female,1,0.05,0.607143,0.553571,0.516667,0.54,0.715909,0.571786,0.517127,0.537006,0.777778,Another,0.705357,2
Male,0,0.18,0.5,0.571429,0.333333,0.433333,0.693182,0.571786,0.517127,0.537006,0.888889,English,0.776786,4
Female,0,0.560001,0.75,0.696429,0.833333,0.773333,0.848485,0.851852,0.625,0.692308,1,English,0.84375,2
Female,1,0.02744,0.464286,0.428571,0.583333,0.466667,0.848485,0.444444,0.583333,0.5,0.555556,EnglishandAnother,1,3
Female,0,0.071,0.660714,0.553571,0.883333,0.706667,0.765152,0.571786,0.517127,0.537006,1,EnglishandAnother,0.745536,1
Male,1,0.05,0.446429,0.642857,0.666667,0.573333,0.674242,0.571786,0.517127,0.537006,1,Another,0.754464,0
Male,1,0.178005,0.803571,0.946429,0.766667,0.86,0.791667,0.888889,0.833333,0.537006,1,English,0.763393,2
Female,0,0.12,0.625,0.410714,0.716667,0.573333,0.659091,0.571786,0.517127,0.537006,0.623153,English,0.776786,0
Male,1,0.06,0.553571,0.607143,0.533333,0.546667,0.689394,0.571786,0.517127,0.537006,0.623153,EnglishandAnother,0.776786,0
